CAS,SMILES,Experimental value
1877-73-2,O=C(O)Cc1cccc(c1)[N+](=O)[O-],1.45
1877-75-4,O=C(O)COc1ccc(OC)cc1,1.23
1878-49-5,O=C(O)COc1ccccc1C,1.98
1878-51-9,O=C(O)COc1cccc(c1)CC,2.25
1878-52-0,O=C(O)COc1cccc(c1)C(C)C,2.59
1878-53-1,O=C(O)COc1cccc(c1)CCCC,3.18
1878-55-3,O=C(O)COc1cccc(c1)C(C)(C)C,2.96
1878-56-4,O=C(O)COc1ccc(cc1)C2CCCCC2,3.79
1878-57-5,O=C(O)COc1cccc(c1)c2ccccc2,3.18
1878-58-6,O=C(O)COc1ccc2c(c1)CCC2,2.33
1878-59-7,O=C(O)COc1ccc2c(c1)CCCC2,2.67
1878-61-1,O=C(O)c1cccc(OCC(=O)O)c1,1.11
1878-62-2,O=C(O)COc1ccccc1(C(=O)C),1.25
1878-65-5,O=C(O)Cc1cccc(c1)Cl,2.09
1878-66-6,O=C(O)Cc1ccc(cc1)Cl,2.12
1878-67-7,O=C(O)Cc1cccc(c1)Br,2.37
1878-68-8,O=C(O)Cc1ccc(cc1)Br,2.31
1878-69-9,O=C(O)Cc1cccc(c1)I,2.62
1878-71-3,N#Cc1cccc(c1)CC(=O)O,1.18
1878-76-8,O=C(O)COc1cccc(c1)SC,1.9
1878-80-4,O=C(O)COc1cccc(c1)C(=O)C,0.98
1878-81-5,O=C(O)COc1ccc(cc1)C(=O)C,0.87
1878-82-6,N#Cc1ccc(OCC(=O)O)cc1,0.93
1878-83-7,O=C(O)COc1cccc(O)c1,0.76
1878-84-8,O=C(O)COc1ccc(O)cc1,0.65
1878-85-9,O=C(O)COc1ccccc1(OC),0.98
1878-87-1,O=C(O)COc1ccccc1[N+](=O)[O-],1.13
1878-88-2,O=C(O)COc1cccc(c1)[N+](=O)[O-],1.37
1878-89-3,O=C(O)COc1cccc(c1)NC(=O)c2ccccc2,1.99
1878-91-7,O=C(O)COc1ccc(cc1)Br,2.45
1878-92-8,O=C(O)COc1ccccc1I,2.33
1878-93-9,O=C(O)COc1cccc(c1)I,2.44
1879-56-7,O=C(O)COc1ccccc1Br,2.04
1879-58-9,N#Cc1cccc(OCC(=O)O)c1,0.95
1879-77-2,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)C)C4(C)(CC(O)C23(F)))(C),2.35
1882-26-4,O=C(OCc1nc(ccc1)COC(=O)NC)NC,0.24
1883-15-4,O=P(O)(O)Oc1cnc(c(O)c1CO)C,-0.64
1885-29-6,N#Cc1ccccc1(N),1.4
1885-38-7,N#CC=Cc1ccccc1,1.96
1885-87-6,N(=Cc1ccccc1)N2CCCCC2,3.04
1891-90-3,O=C(N)c1ccc(cc1)C(F)(F)F,1.71
1893-33-0,O=C(N)C3(N1CCCCC1)(CCN(CCCC(=O)c2ccc(F)cc2)CC3),2.02
1897-45-6,N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl,3.05
1899-48-5,n1c(nc2ccccc2(c1N))N,1
1899-94-1,O=S(=O)(N)c1cccc(c1)C,0.85
1904-58-1,O=C(NN)c1ccccc1(N),-0.18
1912-24-9,n1c(nc(nc1NC(C)C)Cl)NCC,2.61
1912-25-0,n1c(nc(nc1N(CC)CC)Cl)NC(C)C,3.94
1912-26-1,n1c(nc(nc1N(CC)CC)Cl)NCC,3.34
1918-00-9,O=C(O)c1c(OC)c(ccc1Cl)Cl,2.21
1918-16-7,O=C(N(c1ccccc1)C(C)C)CCl,2.18
1918-18-9,O=C(OC)Nc1ccc(c(c1)Cl)Cl,3.32
1929-29-9,O=C(O)CCc1ccc(OC)cc1,1.9
1929-77-7,O=C(N(CCC)CCC)SCCC,3.84
1929-82-4,n1c(cccc1Cl)C(Cl)(Cl)Cl,3.41
1934-92-5,O=C(c1ccccc1)N(c2ccccc2)C,2.36
1939-21-5,O=C(Nc1cccc(c1)C(F)(F)F)Cc2ccccc2,3.84
1942-48-9,O=C(CC(=O)CCCC)CCCC,3.56
1943-79-9,O=C(Oc1ccccc1)NC,1.24
1943-87-9,O=C(OC)Nc1ccc(cc1)[N+](=O)[O-],2.12
1948-92-1,O=[N+]([O-])c1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,2.04
1951-25-3,O=C(c1cc(c(OCCN(CC)CC)c(c1)I)I)c2c3ccccc3(oc2CCCC),7.8
1951-56-0,O=C(C=Cc1oc(cc1)[N+](=O)[O-])NC(C)C,1.34
1953-33-9,O=C1NC(=O)C(C(=O)N1)CCCC,0.77
1953-54-4,Oc1ccc2[nH]ccc2(c1),1.11
1959-97-3,O=C1N(c3ccc(F)cc3(C(=NC1)c2ccc(cc2)Cl))C,3.1
1962-75-0,O=C(OCCCC)c1ccc(cc1)C(=O)OCCCC,5.53
1967-25-5,O=C(N)Nc1ccc(cc1)Br,1.98
1967-27-7,O=C(N)Nc1cccc(c1)Cl,1.82
1972-71-0,O=C(NC(=O)c1ccccc1(O))c2ccccc2(O),1.92
1978-59-2,Fc1ccc(cc1)C2=CCNCC2,2.37
1982-37-2,c1ccc3c(c1)N(c2ccccc2S3)CC4CN(C)CC4,5.23
1982-47-4,O=C(Nc2ccc(Oc1ccc(cc1)Cl)cc2)N(C)C,3.7
1984-59-4,O(c1cccc(c1Cl)Cl)C,3.24
1984-65-2,O(c1c(cccc1Cl)Cl)C,3.14
1985-51-9,O=C(OCC(C)(C)COC(=O)C(=C)C)C(=C)C,2.79
1989-33-9,O=C(O)C2c3ccccc3(c1ccccc12),2.8
1991-78-2,O=C(O)C(N)Cc1ccc(cc1)Cl,-0.48
2002-29-1,O=C1C=CC3(C(=C1)C(F)CC2C4CC(C)C(O)(C(=O)COC(=O)C(C)(C)C)C4(C)(CC(O)C23(F)))(C),3.86
2002-36-0,n2cnc1c(ncn1CCCCC)c2N,1.79
2008-41-5,O=C(N(CC(C)C)CC(C)C)SCC,4.15
2008-58-4,O=C(N)c1c(cccc1Cl)Cl,0.77
2008-73-3,O=C(Nc1ccccc1)Nc2ccc(c(c2)Cl)Cl,4.7
2011-57-6,O=C(Nc1ccc(O)c(c1C)C)C,0.57
2011-67-8,O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))[N+](=O)[O-])C,2.16
2012-81-9,N#CC(c1ccc(cc1)Cl)C(C)C,3.41
2018-61-3,O=C(O)C(NC(=O)C)Cc1ccccc1,0.93
2021-26-3,O=C1NC(=O)c2cc(ccc12)c3ccccc3,2.97
2021-28-5,O=C(OCC)CCc1ccccc1,2.73
2024-34-2,O=C1N(c3ccc(F)cc3(C(=NC1)c2ccccc2(F)))C,2.41
2027-47-6,O=C(O)CCCCCCCC=CCCCCCCCC,7.64
2029-64-3,O=C(OCCCCCCCC)N,2.84
2030-63-9,N=3c1ccccc1N(c2ccc(cc2)Cl)C4=CC(=NC(C)C)C(=CC=34)Nc5ccc(cc5)Cl,7.66
2032-59-9,O=C(Oc1ccc(c(c1)C)N(C)C)NC,1.9
2032-65-7,O=C(Oc1cc(c(c(c1)C)SC)C)NC,2.92
2034-22-2,n1c([nH]c(c1Br)Br)Br,1.96
2035-15-6,Oc5ccc1c(OCC2c3cc4OCOc4(cc3(OC12)))c5,2.61
2036-41-1,n1cncc(c1)C,0.01
2038-57-5,NCCCc1ccccc1,1.83
2038-62-2,FCCCc1ccccc1,2.95
2042-14-0,O=[N+]([O-])c1cc(O)ccc1C,2.18
2046-17-5,O=C(OC)CCCc1ccccc1,2.77
2046-18-6,N#CCCCc1ccccc1,2.21
2046-19-7,O=C(O)C(N)CCCc1ccccc1,-0.36
2046-21-1,O=C(OC)CCCCC(=O)C,0.55
2046-23-3,O=C(C)CCC1CC1,1.5
2046-33-5,O(C)CCCc1ccccc1,2.7
2050-43-3,O=C(Nc1ccc(cc1C)C)C,1.46
2050-45-5,O=C(Nc1cc(cc(c1)C)C)C,2.17
2050-67-1,c1cc(cc(c1)Cl)c2cccc(c2)Cl,5.27
2050-68-2,c1cc(ccc1c2ccc(cc2)Cl)Cl,5.23
2050-69-3,c1ccc2c(c1)ccc(c2Cl)Cl,4.42
2050-73-9,c2cc1ccc(cc1c(c2)Cl)Cl,4.56
2050-74-0,c2cc1cccc(c1c(c2)Cl)Cl,4.3
2050-75-1,c1ccc2cc(c(cc2(c1))Cl)Cl,4.42
2050-76-2,Oc2c1ccccc1c(cc2Cl)Cl,4.23
2050-85-3,O=C(Nc1ccccc1(NC(=O)C))C,-0.03
2051-24-3,c2(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,8.27
2051-60-7,c1ccc(cc1)c2ccccc2Cl,4.53
2051-61-8,c1ccc(cc1)c2cccc(c2)Cl,4.58
2051-62-9,c1ccc(cc1)c2ccc(cc2)Cl,4.61
2051-95-8,O=C(O)CCC(=O)c1ccccc1,1.3
2052-07-5,c1ccc(cc1)c2ccccc2Br,4.59
2052-14-4,O=C(OCCCC)c1ccccc1(O),4.63
2055-14-3,n1cccc(c1)CN(CC)CC,1.01
2055-21-2,n1cccc(c1)CN(C)C,0.49
2055-46-1,N1C(NCCC1)=S,-0.68
2058-74-4,O=C1C(=O)N(c2ccccc12)C,0.58
2059-76-9,C(=Nc1ccc(cc1)I)=S,4.22
2060-58-4,OCC(C=CC#CC#CC#CC=CC)Cl,3.91
2065-23-8,O=C(OC)COc1ccccc1,1.41
2065-37-4,O=C1C=C(C(=O)c2ccccc12)Br,2.44
2070-61-3,O=S(=O)(Nc1ccccc1)CF,1.35
2077-99-8,O=[N+]([O-])c1cc(cc(c1(NCCC))[N+](=O)[O-])C(F)(F)F,3.65
2078-54-8,Oc1c(cccc1C(C)C)C(C)C,3.79
2084-13-1,O=C(O)c1cccc(c1)CC(=O)O,1.14
2088-24-6,O=C(O)COc1cccc(OC)c1,1.38
2095-17-2,NCCCN3c1ccccc1Sc2ccc(cc23)Cl,4.47
2100-42-7,O(c1ccc(OC)c(c1)Cl)C,2.69
2104-64-5,O=[N+]([O-])c2ccc(OP(OCC)(c1ccccc1)=S)cc2,4.78
2104-96-3,O(c1cc(c(cc1Cl)Br)Cl)P(OC)(OC)=S,5.21
2113-47-5,O=C(Nc2ccccc2(c1ccccc1))C,2.02
2113-57-7,c1ccc(cc1)c2cccc(c2)Br,4.85
2113-58-8,O=[N+]([O-])c1cccc(c1)c2ccccc2,3.87
2114-20-7,O=C(OCCCCCC)N,1.85
2122-63-6,O=C(O)c1ccc(N)c(c1)I,2.36
2124-31-4,O=C(c1ccc(cc1)N(C)C)C,2.1
2131-41-1,c1cc2c(c(c1)C)c(ccc2C)C,4.9
2131-55-7,C(=Nc1ccc(cc1)Cl)=S,3.91
2131-59-1,C(=Nc1cccc(c1)Br)=S,4.12
2131-60-4,Oc1ccc(N=C=S)cc1,2.74
2131-62-6,O=C(O)c1ccc(N=C=S)cc1,3.52
2131-64-8,C(=Nc1ccc(cc1)N(C)C)=S,3.96
2135-17-3,O=C1C=CC3(C(=C1)C(F)CC2C4CC(C)C(O)(C(=O)CO)C4(C)(CC(O)C23(F)))(C),1.94
2136-99-4,c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl,7.73
2140-61-6,O=C1N=C(N)C(=CN1C2OC(CO)C(O)C2(O))C,-2.01
2142-63-4,O=C(c1cccc(c1)Br)C,2.47
2142-68-9,O=C(c1ccccc1Cl)C,2.09
2143-80-8,O=C(C=Cc1ccccc1(F))C,2.34
2144-41-4,O1C(C)CCC1C,1.28
2150-88-1,O=C(OC)Nc1cccc(c1)Cl,2.58
2150-93-8,O=C(Nc1ccc(c(c1)Cl)Cl)C,3
2150-95-0,O=C(Nc1ccc(c(c1)Cl)Cl)CCC,3.77
2150-96-1,O=C(Nc1ccc(c(c1)Cl)Cl)CCCC,4.17
2152-44-5,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(OC(=O)CCCC)(C(=O)CO)C4(C)(CC(O)C23(F)))(C),3.6
2156-14-1,O=C3c4ccccc4(C(=O)C3(c1ccc(cc1)c2ccccc2)),4.79
2157-98-4,O=C(C=C(OP(=O)(OC)OC)C)NC,-0.2
2169-64-4,O=C1C=NN(C(=O)N1)C2OC(COC(=O)C)C(OC(=O)C)C2(OC(=O)C),-0.2
2176-16-1,O(c2cc(cc(OC)c2(OCc1ccccc1))CCN)C,2.4
2176-62-7,n1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,3.53
2183-54-2,Oc1c(cc(cc1Br)Br)CO,2.72
2189-60-8,c1ccc(cc1)CCCCCCCC,6.3
2189-61-9,O=C(OC)Nc1cccc(c1)[N+](=O)[O-],2
2198-53-0,O=C(Nc1c(cccc1C)C)C,1.07
2198-54-1,O=C(Nc1ccc(c(c1)C)C)C,2.1
2198-77-8,c1cc(cc2cc(ccc12)Cl)Cl,4.81
2199-43-1,O=C(OCC)c1ccc[nH]1,1.73
2199-49-7,O=C(OCC)c1c[nH]cc1C,2.14
2202-79-1,O=C1C=CC(=O)c2cc(c(cc12)C)C,2.49
2211-33-8,O=C2NC(=O)N(c1ccccc1)C2(=O),0.6
2212-67-1,O=C(N1CCCCCC1)SCC,3.21
2213-43-6,NN1CCCCC1,-0.28
2213-70-9,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NC,3.06
2213-84-5,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NCC,3.18
2213-85-6,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NCCC,3.7
2213-87-8,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NCCCC,4.18
2213-88-9,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NCC(C)C,3.86
2214-33-7,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NC(C)(C)C,3.83
2214-34-8,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)N,2.53
2214-53-1,N#Cc1ccnc(c1)C,0.81
2215-77-2,O=C(O)c2ccc(Oc1ccccc1)cc2,3.91
2216-45-7,O=C(OCc1ccc(cc1)C)C,2.44
2216-68-4,c1ccc2c(c1)cccc2(NC),2.88
2216-69-5,O(c1cccc2ccccc12)C,3.45
2217-02-9,OC2C(C)(C)C1CCC2(C)(C1),3.17
2217-08-5,O=C1NC(=O)C(C(=O)N1)(CCC)CCC,1.75
2221-13-8,O=C2NCC(=O)N2(c1ccccc1),0.04
2227-79-4,NC(c1ccccc1)=S,1.49
2235-83-8,O=C(C)CCCc1ccccc1,2.42
2237-30-1,N#Cc1cccc(N)c1,1.07
2240-28-0,O=C1C=CC3(C(=C1)CCC2C4CC(C)C(O)(C(=O)COC(=O)CCCC)C4(C)(CC(O)C23(F)))(C),3.87
2240-41-7,O=P(OC)(OC)c1ccccc1,0.95
2240-88-2,FC(F)(F)CCO,0.39
2243-42-7,O=C(O)c2ccccc2(Oc1ccccc1),3.11
2243-62-1,Nc1cccc2c(N)cccc12,0.89
2243-81-4,O=C(N)c2cccc1ccccc12,1.88
2251-64-1,O=S2(=O)(NC(=Nc1cc(ccc12)Cl)C(F)(F)F),1.65
2252-63-3,Fc1ccc(cc1)N2CCNCC2,1.28
2255-15-4,O=[N+]([O-])c1ccc(OP(=O)(OC)OC)cc1Cl,1.83
2255-17-6,O=[N+]([O-])c1ccc(OP(=O)(OC)OC)cc1C,1.69
2256-16-8,O=C(NC(C(O)C)C1OC(C(O)C(O)C1(O))SC)C2NCC(CCC)C2,0.04
2256-17-9,O=C(NC(C(O)C)C1OC(C(O)C(O)C1(O))SC)C2N(CC)CC(CCC)C2,1.02
2257-09-2,C(=NCCc1ccccc1)=S,3.47
2259-96-3,O=S(=O)(N)c1cc2c(cc1Cl)NC(NS2(=O)(=O))C4CC3C=CC4(C3),1.95
2262-52-4,O=C(OCC)C(=Cc1ccccc1(F))C(=O)OCC,3.04
2265-94-3,O=[N+]([O-])c1cc(F)cc(F)c1,2.03
2270-20-4,O=C(O)CCCCc1ccccc1,2.94
2274-01-3,O=C(N)NC(=O)C(CC)CC,0.91
2274-08-0,O=C(N)NC(=O)CC(C)C,0.45
2274-42-2,N#CCS(=O)(=O)C,-1.42
2274-67-1,O=P(OC(=CCl)c1ccc(cc1Cl)Cl)(OC)OC,3.13
2284-20-0,C(=Nc1ccc(OC)cc1)=S,3.58
2285-16-7,O=C1Nc3ccc(cc3(C(=NC1)c2ccccc2))C(F)(F)F,3.1
2295-35-4,N1C(CCC1)=S,-0.05
2298-99-9,O=C1C=C(OC(=C1(O))C)C,0.44
2301-40-8,O=C1NCC(=O)N1Cc2ccccc2,0.82
2303-16-4,O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl,4.49
2303-17-5,O=C(N(C(C)C)C(C)C)SCC(=C(Cl)Cl)Cl,4.6
2303-25-5,O=[N+]([O-])c2ccc(Oc1cccc(c1)C)cc2,4.4
2307-68-8,O=C(Nc1ccc(c(c1)Cl)C)C(C)CCC,4.31
2310-17-0,O=C2Oc1cc(ccc1N2CSP(OCC)(OCC)=S)Cl,4.38
2312-35-8,O=S(OCC#C)OC2CCCCC2(Oc1ccc(cc1)C(C)(C)C),5
2314-09-2,O=C(OCCCC)C2(O)(c3ccccc3(c1ccccc12)),3.7
2314-79-6,O=C2N(c1ccc(cc1)C)C(=O)CC2,0.58
2314-80-9,O=C2N(c1ccc(OC)cc1)C(=O)CC2,0.15
2315-68-6,O=C(OCCC)c1ccccc1,3.01
2316-26-9,O=C(O)C=Cc1ccc(OC)c(OC)c1,2.34
2316-64-5,Oc1ccc(cc1CO)Br,1.72
2327-02-8,O=C(N)Nc1ccc(c(c1)Cl)Cl,2.65
2338-10-5,n1[nH]nc2c1c(c(c(c2Cl)Cl)Cl)Cl,4.17
2338-12-7,O=[N+]([O-])c1ccc2[nH]nnc2(c1),1.95
2338-25-2,FC(F)(F)c1nc2cc(c(cc2([nH]1))Cl)Cl,3.49
2338-27-4,FC(F)(F)c2nc1c(cc(c(c1Cl)Cl)Cl)[nH]2,3.87
2338-30-9,FC(F)(F)c1nc2c([nH]1)c(c(c(c2Br)Br)Br)Br,4.81
2338-31-0,FC(F)(F)c2nc1c(cccc1Cl)[nH]2,2.93
2345-34-8,O=C(O)c1ccc(OC(=O)C)cc1,1.48
2348-74-5,O=C1C=C(NC(=O)C)C(=O)c2ccccc12,1.29
2348-81-4,O=C1C=C(N)C(=O)c2ccccc12,1.77
2348-82-5,O=C1C=C(OC)C(=O)c2ccccc12,1.35
2362-62-1,NC(c1ccc(cc1)C)=S,2.01
2362-64-3,O(c1ccc(cc1)C(N)=S)C,1.63
2364-46-7,O=[N+]([O-])c2cc1cccc(c1c(c2)[N+](=O)[O-])[N+](=O)[O-],2.3
2364-50-3,O=C(Nc1ccccc1)CC(C)C,2.51
2365-30-2,O=NN(C(=O)N)CCCl,0.57
2366-52-1,FCCCC,2.58
2373-80-0,O=C(O)C=Cc1ccc2OCOc2(c1),2.59
2373-84-4,O=C1NC(=O)C(C(=O)N1)(CC=C)CC,0.95
2374-03-0,O=C(O)c1ccc(N)c(O)c1,0.5
2380-78-1,Oc1ccc(cc1(OC))CCO,0.47
2385-77-5,O=CCC(C)CCC=C(C)C,3.83
2385-85-5,C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,7.18
2387-16-8,c1ccc(cc1)C(c2ccccc2)C(Cl)Cl,4.51
2388-47-8,O=P(Oc1cc(c(cc1Cl)Cl)Cl)(OC)NC(C)CC,3.99
2389-37-9,O=C(Nc1ccccc1)c2cc(ccc2(O))[N+](=O)[O-],3.66
2392-68-9,C(=Nc1cccc(c1)Cl)=S,3.36
2398-37-0,O(c1cccc(c1)Br)C,3.03
2400-00-2,c1ccc(cc1)C(CC)CCCCCCCCC,8.1
2402-77-9,n1cccc(c1Cl)Cl,2.11
2402-78-0,n1c(cccc1Cl)Cl,2.15
2402-79-1,n1c(c(cc(c1Cl)Cl)Cl)Cl,3.32
2403-22-7,c1ccc(cc1)CNCCCC,2.59
2404-73-1,O=P(OCCCC)(OCCCC)C,3.26
2410-24-4,O=C(O)C(N)Cc1ccc(N)cc1,-2.2
2416-94-6,Oc1c(ccc(c1C)C)C,2.67
2424-02-4,C=CCNCC,0.81
2425-06-1,O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl,3.8
2425-10-7,O=C(Oc1ccc(c(c1)C)C)NC,2.09
2426-08-6,O(CCCC)CC1OC1,0.63
2427-90-9,O=C(OCC)c1nccnc1(C(=O)OCC),0.65
2431-96-1,O=C(N(CC)CC)Cc1ccccc1,2.4
2436-66-0,O=C1c2ccccc2(N=CN1C),0.69
2437-49-2,Oc1c(cc(c(O)c1Br)Br)Br,4.37
2437-79-8,c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl,6.29
2438-05-3,O=C(O)c1ccc(cc1)CCC,3.42
2438-72-4,O=C(NO)Cc1ccc(OCCCC)cc1,2.08
2438-76-8,O=S(=O)(N)c1cnccc1,-0.49
2439-01-2,O=C2Sc1nc3ccc(cc3(nc1S2))C,3.78
2439-77-2,O=C(N)c1ccccc1(OC),0.86
2440-79-1,O=C(OC)C(NC(=O)C)Cc1ccc(O)cc1,0.33
2443-62-1,O=C(NN)CCCCC,0.48
2444-89-5,O(c1ccc(cc1)Cl)c2ccc(cc2)Cl,5.25
2446-62-0,O=C1c3ccccc3(N=C2N1CCCC2),1.52
2447-57-6,O=S(=O)(Nc1ncnc(OC)c1(OC))c2ccc(N)cc2,0.7
2450-08-0,O=C(OC)c1ncncc1,-0.27
2454-39-9,Nc1ccccc1C(N)=S,0.99
2455-15-4,O(c1cccc(c1)C)CCN(C)C,2.05
2457-47-8,n1cc(cc(c1)Cl)Cl,2.56
2457-76-3,O=C(O)c1ccc(N)cc1Cl,1.33
2459-07-6,O=C(OC)c1ncccc1,0.36
2459-09-8,O=C(OC)c1ccncc1,0.87
2460-49-3,Oc1cc(c(cc1(OC))Cl)Cl,3.26
2463-84-5,O=[N+]([O-])c1ccc(OP(OC)(OC)=S)c(c1)Cl,3.58
2466-76-4,O=C(n1cncc1)C,-0.34
2474-50-2,O=C1Nc2cc(c(cc2(NC1(=O)))C)C,1.34
2481-53-0,O=C(C=Cc1cccc(F)c1)C,2.25
2486-02-4,O=C(OCCC(C)C)c1cc(O)c(O)c(O)c1,2.8
2486-52-4,O=C(O)c1ccc(N)cc1Br,1.49
2486-70-6,O=C(O)c1ccc(N)c(c1)C,1.37
2486-75-1,O=C(O)c1ccc(N)cc1C,1.14
2486-77-3,O=C(O)c1ccc(N)cc1(OCC=C),1.25
2486-79-5,O=C(O)c1ccc(N)cc1(OCCC),1.53
2486-80-8,O=C(O)c1ccc(N)cc1(OC),0.45
2488-78-0,O=C1OCC(=C1)C3CCC4(O)(C5CCC2CC(OS(=O)(=O)O)CCC2(C)C5(CCC34(C))),-0.18
2489-77-2,N(C(N(C)C)=S)C,0.1
2492-87-7,O=[N+]([O-])c2ccc(OC1OC(CO)C(O)C(O)C1(O))cc2,-0.34
2495-37-6,O=C(OCc1ccccc1)C(=C)C,2.53
2497-06-5,O=S(=O)(CC)CCSP(OCC)(OCC)=S,1.87
2497-07-6,O=S(CC)CCSP(OCC)(OCC)=S,1.73
2498-66-0,O=C1c4ccccc4(C(=O)c2c3ccccc3(ccc12)),4.4
2504-18-9,O=NN(C)C(C)(C)C,0.81
2510-86-3,O=P(Oc1ccccc1)(OCC)OCC,1.64
2511-10-6,O=P(OCC)(C)SCC,0.71
2511-17-3,O=P(N(C)C)(N(C)C)C,-0.67
2513-25-9,O1c2ccccc2(C=CC1(C)C),3.31
2516-95-2,O=C(O)c1cc(ccc1[N+](=O)[O-])Cl,2.13
2516-96-3,O=C(O)c1cc(ccc1Cl)[N+](=O)[O-],2.03
2518-42-5,[O-][n+]1onc(c1C)C,0.23
2518-72-1,O=C1NC(=O)C(C(=O)N1)CC,-0.35
2519-75-7,c1cc(c(cc1NCCN(CC)CC)Cl)C,4.14
2521-24-6,NC(c1ccc(cc1)Cl)=S,2.4
2524-52-9,O=C(OCC)c1ncccc1,0.87
2525-05-5,Oc1ccc(cc1(O))CCCC,2.96
2527-99-3,O=C(OC)c1oc(cc1)Br,1.84
2528-36-1,O=P(Oc1ccccc1)(OCCCC)OCCCC,4.27
2530-26-9,O=[N+]([O-])c1cnccc1,0.6
2531-84-2,c1ccc3c(c1)ccc2cc(ccc23)C,4.86
2534-77-2,C1CC2CC1CC2Br,3.54
2537-29-3,O=C1NC(=O)C(C(=O)N1)(CC=C)CC(O)C,-0.05
2539-17-5,Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl,4.59
2539-26-6,Oc1c(OC)c(c(c(c1(OC))Cl)Cl)Cl,3.74
2540-82-1,O=CN(C(=O)CSP(OC)(OC)=S)C,1.48
2550-28-9,O=C(C)CCC#C,0.58
2553-19-7,O(CC)[Si](OCC)(c1ccccc1)c2ccccc2,4.92
2557-81-5,FS(F)(F)(F)(F)c1ccccc1,3.36
2565-47-1,O=C1NC(=O)CC(=O)N1C,-0.85
2571-81-5,O=C1OC2C(C1(=C))CCC(C)C3(O)(CCC(=O)C23(C)),0.83
2581-34-2,O=[N+]([O-])c1ccc(O)cc1C,2.48
2588-03-6,O=S(CC)CSP(OCC)(OCC)=S,1.78
2588-06-9,O=P(OCC)(OCC)SCS(=O)(=O)CC,1.98
2589-65-3,O=C(Oc1ccc(c(c1)C)Cl)NC,2.57
2593-15-9,n1c(nsc1OCC)C(Cl)(Cl)Cl,3.37
2594-17-4,O=C(OCCCCC)NC,1.96
2597-03-7,O=C(OCC)C(c1ccccc1)SP(OC)(OC)=S,3.69
2598-29-0,O=C(Oc1cccc2cccnc12)C,2.03
2600-69-3,O=P(OCC)(OCC)SCSCC,2.07
2603-10-3,O=C(OC)Nc1ccccc1,1.75
2604-08-2,O=[N+]([O-])C=Cc1ccc(cc1)N(C)C,2.67
2617-79-0,O=CNc1ccc(cc1)Cl,2.04
2618-96-4,O=S(=O)(NS(=O)(=O)c1ccccc1)c2ccccc2,0.52
2620-53-3,O=C(Oc1ccc(cc1)Cl)NC,2.01
2620-63-5,O=C(N)CNC(=O)C,-1.83
2622-07-3,O=P(N(CC)CC)(N(CC)CC)N(CC)CC,2.53
2622-26-6,N#Cc1ccc3c(c1)N(c2ccccc2S3)CCCN4CCC(O)CC4,3.52
2623-33-8,O=C(Oc1ccc(cc1)NC(=O)C)C,1.05
2626-81-5,O=C(Oc1ccccc1C(C)(C)C)NC,2.65
2626-83-7,O=C(Oc1ccc(cc1)C(C)(C)C)NC,3.06
2627-77-2,O=C(Nc1ccc(cc1)Br)c2ccccc2(O),4.51
2628-58-2,c1ccc(cc1)C(N(c2ccccc2)C)=S,3.12
2629-72-3,OCCCc1ccncc1,0.58
2631-30-3,O=C(Oc1ccc(cc1)CC)NC,2.23
2631-37-0,O=C(Oc1cc(cc(c1)C(C)C)C)NC,3.1
2631-39-2,O=C(Oc1cccc(c1)N(C)C)NC,1.43
2631-40-5,O=C(Oc1ccccc1C(C)C)NC,2.31
2631-42-7,O=C(Oc1ccccc1CC)NC,1.93
2636-26-2,N#Cc1ccc(OP(OC)(OC)=S)cc1,2.71
2642-71-9,O=C1c2ccccc2(N=NN1CSP(OCC)(OCC)=S),3.4
2642-98-0,Nc1cc3c4ccccc4(ccc3(c2ccccc12)),4.99
2644-96-4,O=C(OC)CNC(=O)c1ccc(cc1)[N+](=O)[O-],0.98
2646-26-6,O=C(NN)Nc1ccc(cc1)Br,1
2648-00-2,O=C1Nc3ccc(F)cc3(C(=NC1)c2ccccc2),2.32
