CAS,SMILES,Experimental value
54-32-0,O=C(Oc1cc(c(OCCN(C)C)cc1C)C(C)C)C,3.17
54-42-2,O=C1NC(=O)N(C=C1I)C2OC(CO)C(O)C2,-0.96
54-49-9,Oc1cccc(c1)C(O)C(N)C,-0.27
54-80-8,OC(c1ccc2ccccc2(c1))CNC(C)C,3
54-85-3,O=C(NN)c1ccncc1,-0.7
54-92-2,O=C(NNC(C)C)c1ccncc1,0.37
55-18-5,O=NN(CC)CC,0.48
55-21-0,O=C(N)c1ccccc1,0.64
55-22-1,O=C(O)c1ccncc1,0.32
55-38-9,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,4.09
55-63-0,O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-],1.62
56-12-2,O=C(O)CCCN,-3.17
56-23-5,C(Cl)(Cl)(Cl)Cl,2.83
56-29-1,O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C,1.98
56-38-2,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,3.83
56-40-6,O=C(O)CN,-3.21
56-41-7,O=C(O)C(N)C,-2.91
56-47-3,O=C(OCC(=O)C2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))C,3.08
56-49-5,c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C),6.42
56-53-1,Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC,5.07
56-54-2,OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4,3.44
56-55-3,c3ccc4cc2c(ccc1ccccc12)cc4(c3),5.76
56-72-4,O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C,4.13
56-75-7,O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl,1.14
56-81-5,OCC(O)CO,-1.76
56-84-8,O=C(O)CC(N)C(=O)O,-3.89
56-85-9,O=C(O)C(N)CCC(=O)N,-3.64
56-86-0,O=C(O)CCC(N)C(=O)O,-3.69
56-87-1,O=C(O)C(N)CCCCN,-3.05
56-89-3,O=C(O)C(N)CSSCC(N)C(=O)O,-5.08
56-91-7,O=C(O)c1ccc(cc1)CN,1.03
57-10-3,O=C(O)CCCCCCCCCCCCCCC,7.17
57-11-4,O=C(O)CCCCCCCCCCCCCCCCC,8.23
57-13-6,O=C(N)N,-2.11
57-15-8,OC(C)(C)C(Cl)(Cl)Cl,2.03
57-24-9,O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67),1.93
57-27-2,Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4),0.89
57-42-1,O=C(OCC)C2(c1ccccc1)(CCN(C)CC2),2.72
57-43-2,O=C1NC(=O)C(C(=O)N1)(CC)CCC(C)C,2.07
57-44-3,O=C1NC(=O)C(C(=O)N1)(CC)CC,0.65
57-47-6,O=C(Oc1ccc2c(c1)C3(C)(CCN(C)C3(N2C)))NC,1.58
57-50-1,OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O),-3.7
57-53-4,O=C(OCC(C)(COC(=O)N)CCC)N,0.7
57-55-6,OCC(O)C,-0.92
57-63-6,C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C))),3.67
57-66-9,O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC,3.21
57-68-1,O=S(=O)(Nc1nc(cc(n1)C)C)c2ccc(N)cc2,0.89
57-74-9,C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,6.16
57-83-0,O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4,3.87
57-96-5,O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCS(=O)c4ccccc4,2.3
57-97-6,c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C,5.8
58-00-4,Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4,2.3
58-14-0,n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N,2.69
58-18-4,O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4,3.36
58-19-5,O=C2CC3CCC1C4CCC(O)C4(C)(CCC1C3(C)(CC2C)),3.99
58-22-0,O=C4C=C3CCC1C(CCC2(C)(C(O)CCC12))C3(C)CC4,3.32
58-27-5,O=C1C=C(C(=O)c2ccccc12)C,2.2
58-37-7,c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)CN(C)C,4.76
58-38-8,c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN4CCN(C)CC4,4.88
58-39-9,OCCN1CCN(CC1)CCCN4c2ccccc2Sc3ccc(cc34)Cl,4.2
58-40-2,c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C,4.55
58-55-9,O=C2c1[nH]cnc1N(C(=O)N2C)C,-0.03
58-73-1,O(CCN(C)C)C(c1ccccc1)c2ccccc2,3.27
58-74-2,n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3,2.95
58-89-9,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,3.86
58-90-2,Oc1c(cc(c(c1Cl)Cl)Cl)Cl,4.45
58-93-5,O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O),-0.07
59-05-2,O=C(O)CCC(NC(=O)c1ccc(cc1)N(C)Cc2nc3c(nc2)nc(nc3(N))N)C(=O)O,-1.85
59-07-4,O=C(O)c1ccc(N)cc1(OCC),0.99
59-14-3,O=C1NC(=O)N(C=C1Br)C2OC(CO)C(O)C2,-0.29
59-26-7,O=C(c1cnccc1)N(CC)CC,0.33
59-40-5,O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3,1.68
59-42-7,Oc1cccc(c1)C(O)CNC,-0.31
59-46-1,O=C(OCCN(CC)CC)c1ccc(N)cc1,2.14
59-47-2,OCC(O)COc1ccccc1C,1.41
59-50-7,Oc1ccc(c(c1)C)Cl,3.1
59-61-0,OC(c1ccc(c(c1)Cl)Cl)CNC(C)C,3.32
59-63-2,O=C(NNCc1ccccc1)c2noc(c2)C,1.49
59-66-5,O=C(Nc1nnc(s1)S(=O)(=O)N)C,-0.26
59-67-6,O=C(O)c1cnccc1,0.36
59-87-0,O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-],0.23
59-89-2,O=NN1CCOCC1,-0.44
59-92-7,O=C(O)C(N)Cc1ccc(O)c(O)c1,-2.57
59-98-3,N1=C(NCC1)Cc2ccccc2,2.65
60-09-3,N(=Nc1ccc(N)cc1)c2ccccc2,3.41
